year,month,publication_date,date_precision,model,family,title,benchmark_data,native_resolution,horizon,conditioning,metrics,doi,paper_url,code_or_data_url,scope,gp_evidence,status_and_scope
"2026","09","2026-09","month (online or issue; see status)","LoaDiff","Diffusion conditionnelle","LoaDiff: Conditional Generation of Electricity Consumption Time Series for Energy Analytics","3 jeux résidentiels","infra-horaire","annuel","Attributs du foyer; température; calendrier","Fidélité; diversité; mémorisation; TSTR/usage","","https://arxiv.org/abs/2609.11639","https://github.com/adrienpetralia/loadiff","direct","not applicable or unverified","Direct; arXiv Sep 2026"
"2026","08","2026-08","month (online or issue; see status)","Seasonal weekly WGAN-GP","WGAN-GP","Synthetic Seasonal Weekly Load Profile Generation Based on Advanced Wasserstein-Distance Generative Adversarial Networks","Irish residential","à vérifier","semaine saisonnière","Clusters saisonniers","Wasserstein; corrélation","10.3390/en19153651","","","direct","paper describes gradient penalty","Direct; Energies Aug 2026"
"2026","07","2026-07","month (online or issue; see status)","Temporally-Conditioned DiT","Diffusion Transformer","Temporally-Conditioned Diffusion Transformer for Appliance-Level Load Synthesis in Non-Intrusive Load Monitoring","Appliances; à vérifier","à vérifier","séquences appareils","Contexte temporel","À vérifier","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7124192","","adjacent","not applicable or unverified","Adjacent appareil/NILM; SSRN Jul 2026"
"2026","06","2026-06","month (online or issue; see status)","AC-WTGAN+","cWGAN-GP","AC-WTGAN+: A conditional Wasserstein temporal generator for high-quality residential load synthesis","Irish CER","30 min","336 pas / semaine","10 attributs du foyer; classifieur auxiliaire","KS; DTW; PCC; ACF; TSTR; privacy","10.1016/j.epsr.2026.113338","","","direct","explicit in publisher abstract","Direct; Electric Power Systems Research Jun 2026"
"2026","06","2026-06","month (online or issue; see status)","LV conditional diffusion","Diffusion conditionnelle","Coherent load profile synthesis with conditional diffusion for LV distribution network scenario generation","Réseau LV","à vérifier","journée","Métadonnées et statistiques quotidiennes","Statistiques; temporel; power flow","10.1016/j.segan.2026.102264","","https://github.com/strath-ai/lv-synthesis-diffusion","direct","not applicable or unverified","Direct; Sustainable Energy Grids and Networks Jun 2026"
"2026","01","2026-01","month (online or issue; see status)","Annual convolutional WGAN","WGAN (GP à vérifier)","From Data Scarcity to Scalability: Generating Realistic Building Energy Profiles with GANs","1300 foyers; PV; PAC; EV","1 h","annuel 24 × 368","Classes d'équipements","Statistiques multi-échelles; utility; privacy","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6135520","https://github.com/MODERATE-Project/Synthetic-Load-Profiles","direct","not applicable or unverified","Direct; SSRN Jan 2026; version 2025 remplacée"
"2026","01","2026-01","month (online or issue; see status)","DGAN","GAN","Residential electrical demand data synthesis using the DGAN model: performance evaluation for diverse dwellings","Habitations diverses","à vérifier","à vérifier","Types de logements","À relever","10.1016/j.enbuild.2025.116722","","","direct","not applicable or unverified","Direct; Energy and Buildings Jan 2026"
"2026","01","2026-01","month (online or issue; see status)","Interpretable diffusion + Transformer","Diffusion + Transformer","Long-term scenario generation for distribution network loads based on interpretable diffusion models","Réseau distribution","multi-échelle","long terme / annuel","Décomposition temporelle","Context-FID; Correlational Score; spectre","10.1016/j.ijepes.2025.111491","","","direct","not applicable or unverified","Direct/scénarios; IJEPES Jan 2026"
"2025","07","2025-07","month (online or issue; see status)","Conv1D-WGAN-GP","WGAN-GP","A Data-Driven Approach for Generating Synthetic Load Profiles with GANs","4 datasets industriels; agricoles; résidentiels","à vérifier","24 h","Non conditionnel","Divergence; distinguishability; similarité","10.3390/app15147835","","","direct","paper describes gradient penalty","Direct; Applied Sciences Jul 2025"
"2025","06","2025-06","month (online or issue; see status)","EnergyDiff","Diffusion DDPM","EnergyDiff: Universal Time-Series Energy Data Generation Using Diffusion Models","Électricité; PAC; PV; consommateur et transformateur","1; 15; 30; 60 min","à vérifier","Calibration marginale; multi-domaines","Dépendance temporelle; distributions","10.1109/TSG.2025.3581472","","","direct","not applicable or unverified","Direct; IEEE TSG Jun 2025; arXiv 2024"
