year,month,title,review_type,relevance,doi_or_id,scope_and_date_note,paper_url
"2026","09","Synthetic data generation: A tertiary study","Quality/practice synthesis","Across 17 evaluated reviews, reports gaps in evaluation protocols, privacy, diversity, reproducibility","10.1016/j.ipm.2026.104715","general synthetic data; not load-specific","https://doi.org/10.1016/j.ipm.2026.104715"
"2026","06","A comprehensive survey on generative AI for power systems: Methods, applications, and emerging trends","Energy/power generative survey","GAN, VAE, diffusion, LLMs; transfer / physical constraints","10.26599/CAI.2026.9390018","broader power systems; accepted online 02 June 2026","https://doi.org/10.26599/CAI.2026.9390018"
"2026","04","Generative AI and LLM applications in renewable energy and smart grids: a systematic review for the sustainable energy transition","Energy/smart-grid systematic review","106 GenAI/LLM studies across energy application clusters","10.1007/s10462-026-11545-2","broad energy, includes forecasting and data generation","https://doi.org/10.1007/s10462-026-11545-2"
"2025","02","Deep generative models in energy system applications: Review, challenges, and future directions","Energy generative review","228 works; data generation, forecasting, awareness, modelling and decision support","10.1016/j.apenergy.2024.125059","broader energy systems","https://doi.org/10.1016/j.apenergy.2024.125059"
"2024","09","A Comprehensive guide to Generative Adversarial Networks (GANs) and application to individual electricity demand","Electricity GAN comparison","Compares GAN variants and proposes average coverage error (ACE) for individual load sequences","10.1016/j.eswa.2024.123851","direct load; includes evaluation criteria","https://doi.org/10.1016/j.eswa.2024.123851"
"2024","08","Generating synthetic energy time series: A review","Energy-generation structured review","169 papers; generation method / characteristics / use case / evaluation; calls for standardization","10.1016/j.rser.2024.114842","online 30 August 2024; issue December 2024","https://doi.org/10.1016/j.rser.2024.114842"
"2024","06","Privacy Mechanisms and Evaluation Metrics for Synthetic Data Generation: A Systematic Review","Synthetic privacy survey","105 studies, mechanisms and privacy metrics","10.1109/ACCESS.2024.3417608","general synthetic data; June 2024","https://doi.org/10.1109/ACCESS.2024.3417608"
"2024","05","Evaluation is key: a survey on evaluation measures for synthetic time series","Time series synthetic QA survey","83 measures from 56 works; fidelity, coherence, diversity, utility, privacy; no universal protocol","10.1186/s40537-024-00924-7","general time series; evaluation-centered","https://doi.org/10.1186/s40537-024-00924-7"
"2024","04","A Survey on Diffusion Models for Time Series and Spatio-Temporal Data","Diffusion survey","Conditioned/unconditioned and generation vs forecasting; model taxonomy","arXiv:2404.18886","preprint April 2024; ACM journal version 2026 DOI 10.1145/3783986","https://arxiv.org/abs/2404.18886"
"2023","02","Generative Adversarial Networks in Time Series: A Systematic Literature Review","Time-series GAN survey","GAN architectures, evaluation and privacy","10.1145/3559540","online February 2023; accepted-manuscript 2022; issue October 2023","https://doi.org/10.1145/3559540"
"2021","01","A Comprehensive Review of Residential Electricity Load Profile Models","Residential load model review","32 residential load-profile models; privacy, data access and modelling taxonomy","10.1109/ACCESS.2021.3050074","many non-generative models; useful background","https://doi.org/10.1109/ACCESS.2021.3050074"
